Product,Location,Category,Season,Deal Y/N,Sharks,Asking Amount,% Equity (Asking),Invested Amount,% Equity (Deal),Deal Type
Prank-O Fake Product Gift Boxes,"Minneapolis-Saint Paul, Minnesota",Entertainment & Arts,10,Deal,Mark Cuban,"$640,000",8.0%,"$640,000",25.0%,E
Makeup Junkie Bags,"Houston, Texas",Beauty & Health,10,Deal,Lori Greiner,"$200,000",15.0%,"$200,000",5.0%,"E
R"
Zookies Cookies Bake At Home Dog Treats,"Raleigh, North Carolina",Pet Care,10,Deal,Alli Webb,"$50,000",20.0%,"$50,000",30.0%,E
Press Waffle Co.,"Dallas, Texas",Food & Drink,10,Deal,Barbara Corcoran,"$200,000",8.0%,"$300,000",15.0%,E
Luma Soda,"Palo Alto, California",Food & Drink,10,No Deal,—,"$500,000",20.0%,—,—,—
WISP Cleaning System Broom and Dustpan,"San Marcos, California",Home & Tools,10,No Deal,—,"$500,000",10.0%,—,—,—
BollyX Bollywood Dance Workout,"Boston, Massachusetts",Sports & Outdoors,10,No Deal,—,"$375,000",8.0%,—,—,—
SubSafe Sandwich Container,"Port Orange, Florida",Home & Tools,10,Deal,"Mark Cuban, Charles Barkley","$50,000",13.0%,"$100,000",25.0%,E
Goalsetter Savings App For Kids,"Brooklyn, New York",Apps,10,No Deal,—,"$200,000",4.0%,—,—,—
Kymera Electric Body Boards,"Pleasant Hill, California",Sports & Outdoors,10,Deal,Daymond John,"$250,000",20.0%,"$500,000",10.0%,E
Beyond Sushi - Vegan Sushi and Catering,New York City (East Coast),Food & Drink,10,Deal,"Matt Higgins, Lori Greiner","$1,500,000",25.0%,"$1,500,000",45.0%,E
OatMeals - Oatmeal Cafe,"Downtown, New York City",Food & Drink,10,Deal,Lori Greiner,"$500,000",20.0%,"$500,000",33.0%,E
Angel Shave Club For Women,"San Diego, California",Beauty & Health,10,No Deal,—,"$300,000",10.0%,—,—,—
CurlMix Beauty Products For Curly Hair,South Side of Chicago,Beauty & Health,10,No Deal,—,"$400,000",10.0%,—,—,—
SilkRoll Fashion Trading Platform,"San Francisco, California",Clothing & Accessories,10,No Deal,—,"$250,000",3.0%,—,—,—
The Kombucha Shop,"Madison, Wisconsin",Food & Drink,10,Deal,"Barbara Corcoran, Sara Blakely","$350,000",10.0%,"$350,000",10.0%,"E
L"
Mother Beverage Apple Cider Vinegar - Now Poppi,"Dallas, Texas",Food & Drink,10,Deal,Rohan Oza,"$400,000",10.0%,"$400,000",25.0%,E
Zorpads Shoe Odor Inserts,"Venice, California",Beauty & Health,10,Deal,"Charles Barkley, Lori Greiner","$150,000",8.0%,"$150,000",20.0%,E
Moink Meat Subscription Box,"La Belle, Missouri",Food & Drink,10,Deal,Jamie Siminoff,"$250,000",10.0%,"$400,000",20.0%,E
The Bang Shack Chicken Dip,"Hollywood, Florida",Food & Drink,10,No Deal,—,"$80,000",20.0%,—,—,—
Cup Board Pro Cutting Board,"Long Island, New York",Home & Tools,10,Deal,"Lori Greiner, Daymond John, Mark Cuban, Matt Higgins, Kevin O'Leary","$100,000",10.0%,"$100,000",20.0%,E
Kitty Kasas Cat Houses,"Basalt, Colorado",Pet Care,10,Deal,Lori Greiner,"$200,000",20.0%,"$200,000",30.0%,E
GOGA Goat Yoga,"Austin, Texas",Beauty & Health,10,No Deal,—,"$50,000",15.0%,—,—,—
Pickup Pools For Truck Bed,"San Dimas, California",Sports & Outdoors,10,Deal,Mark Cuban,"$100,000",25.0%,"$100,000",33.0%,E
BoxLock Smart Padlock for Package Deliveries,"Atlanta, Georgia",Home & Tools,10,No Deal,—,"$1,000,000",5.0%,—,—,—
Vade Nutrition Protein Shakes,"East Lansing, Michigan",Food & Drink,10,Deal,"Mark Cuban, Alex Rodriguez","$250,000",10.0%,"$700,000",40.0%,E
Moki Car Door Step,"Newington, Connecticut",Home & Tools,10,Deal,Daymond John,"$150,000",5.0%,"$3,000,000",100.0%,E
Cubicall Office Privacy Booths,"Los Angeles, California",Home & Tools,10,Deal,Barbara Corcoran,"$350,000",10.0%,"$350,000",25.0%,E
Manscaped Men`s Grooming Products,"San Diego, California",Beauty & Health,10,Deal,"Lori Greiner, Mark Cuban","$500,000",7.0%,"$500,000",25.0%,E
Sonnet James Play Dresses For Moms,"Palo Alto, California",Clothing & Accessories,10,Deal,Sara Blakely,"$350,000",25.0%,"$350,000",25.0%,E
Shower Toga Portable Public Shower,"Roswell, Georgia",Sports & Outdoors,10,Deal,"Mark Cuban, Alli Webb","$80,000",33.0%,"$80,000",40.0%,E
Dare-U-Go Bib,"Los Angeles, California",Kids & Toys,10,Deal,Barbara Corcoran,"$350,000",10.0%,"$350,000",35.0%,E
Le-Glue Lego & Building Block Glue,"Dalton, Georgia",Kids & Toys,10,Deal,Kevin O'Leary,"$80,000",15.0%,"$80,000",20.0%,E
Lockstraps Locking Tie Downs,"Temecula, California",Home & Tools,10,No Deal,—,"$200,000",20.0%,—,—,—
Sproing Fitness Low Impact Running Surface,"Chicago, Illinois",Sports & Outdoors,10,No Deal,—,"$500,000",8.0%,—,—,—
DoughP Cookie Dough,"San Francisco, California",Food & Drink,10,No Deal,—,"$450,000",10.0%,—,—,—
BoomBoom Energy Nasal Inhalers,Southern California,Beauty & Health,10,No Deal,—,"$300,000",10.0%,—,—,—
ZuGoPet Travel Products For Pets,"Austin, Texas",Pet Care,10,No Deal,—,"$100,000",10.0%,—,—,—
Nuchas Empanada,New York City,Food & Drink,10,No Deal,—,"$2,000,000",8.0%,—,—,—
FinalStraw Collapsable Drinking Straw,"Seattle, WA",Home & Tools,10,No Deal,—,"$625,000",5.0%,—,—,—
BottleKeeper Insulated Beer Bottle Holder,"El Segundo, California",Home & Tools,10,Deal,"Mark Cuban, Lori Greiner","$1,000,000",5.0%,"$1,000,000",5.0%,"E
R"
BRUW Cold Brew Coffee Filtering - Acquired by Snarky Tea,"Detroit, Michigan",Home & Tools,10,Deal,Mark Cuban,"$50,000",25.0%,"$50,000",30.0%,E
Saucemoto Dip Clip Car Sauce Holder,"Cleveland, Ohio",Automotive & Industrial,10,Deal,Kevin O'Leary,"$45,000",15.0%,"$45,000",25.0%,E
Cave Shake Paleo Diet Shakes,Southern California,Food & Drink,10,Deal,Charles Barkley,"$250,000",10.0%,"$250,000",20.0%,E
Obvious Wines,"Los Angeles, California",Food & Drink,10,Deal,Lori Greiner,"$150,000",5.0%,"$160,000",12.0%,E
Haven Door Lock,"Nashville, Tennessee",Home & Tools,10,No Deal,—,"$500,000",6.0%,—,—,—
Mavens Creamery Macaron Ice Cream Sandwiches,"San Jose, California",Food & Drink,10,Deal,Barbara Corcoran,"$400,000",10.0%,"$400,000",25.0%,E
Bear Bowl Folding Outdoor Cook Pot,"Spokane, Washington",Sports & Outdoors,10,Deal,Jamie Siminoff,"$100,000",20.0%,"$100,000",25.0%,E
Nui Low Sugar Diet Cookies,"Orange County, California",Food & Drink,10,Deal,Alex Rodriguez,"$300,000",10.0%,"$300,000",25.0%,E
TushBaby Carrier,Suburbs of Northern California,Kids & Toys,10,Deal,Lori Greiner,"$200,000",10.0%,"$200,000",20.0%,E
DeskView Window Mounted Standing Desk,"Chicago, Illinois",Home & Tools,10,Deal,Kevin O'Leary,"$150,000",7.0%,"$150,000",20.0%,E
Butter Cloth Shirts,"Long Beach, California",Clothing & Accessories,10,Deal,Robert Herjavec,"$250,000",10.0%,"$250,000",25.0%,E
Twist It Up Comb,"San Diego, California",Beauty & Health,10,Deal,"Daymond John, Mark Cuban","$225,000",15.0%,"$225,000",25.0%,E
Kanga Koozie Cooler For Cases,"Clemson, South Carolina",Home & Tools,10,Deal,Mark Cuban,"$100,000",10.0%,"$100,000",20.0%,E
Spare Mobile ATM,"Los Angeles, California",Apps,10,Deal,Mark Cuban,"$500,000",3.0%,"$500,000",12.0%,E
Shed Defender Onesie For Dogs,"Orange County, California",Pet Care,10,Deal,Lori Greiner,"$250,000",10.0%,"$250,000",25.0%,E
Adventure Hunt - Team Treasure Hunt,"Provo, Utah",Entertainment & Arts,10,Deal,Robert Herjavec,"$150,000",10.0%,"$150,000",20.0%,E
Urban Float Sensory Deprivation Therapy,"Seattle, Washington",Beauty & Health,10,Deal,Matt Higgins,"$500,000",5.0%,"$500,000",12.0%,E
Quikflip Hoodie Backpack,"Los Angeles, California",Clothing & Accessories,10,Deal,Lori Greiner,"$500,000",5.0%,"$500,000",10.0%,"E
L"
Monti Kids Montessori Toys,"Oakland, California",Kids & Toys,10,Deal,Kevin O'Leary,"$200,000",2.0%,"$200,000",10.0%,E
CertifiKID Family Activities,"Potomac, Maryland",Entertainment & Arts,10,Deal,Kevin O'Leary,"$600,000",8.0%,"$600,000",19.0%,E
Swoveralls Sweat Pants + Overalls,New York City,Clothing & Accessories,10,No Deal,—,"$150,000",15.0%,—,—,—
Lug Bug Baby Carrier Handle,"Gilbert, Arizona",Kids & Toys,10,No Deal,—,"$300,000",10.0%,—,—,—
Uniform + 1 Clothing Subscription Service,"Milwaukee, Wisconsin",Clothing & Accessories,10,No Deal,—,"$300,000",10.0%,—,—,—
Wild Earth Koji Dog Treats,"Berkeley, California",Pet Care,10,Deal,Mark Cuban,"$550,000",5.0%,"$550,000",10.0%,E
Coyote Vest Body Armor For Pets,"San Diego, California",Pet Care,10,No Deal,—,"$250,000",10.0%,—,—,—
Pricetitution Card Game,"Sacramento, California",Entertainment & Arts,10,Deal,"Lori Greiner, Rohan Oza","$100,000",20.0%,"$100,000",40.0%,E
Somnifix Mouth Tape,"McLean, Virginia",Beauty & Health,10,Deal,Mark Cuban,"$500,000",10.0%,"$500,000",20.0%,E
Ta-Ta Towel Bra,"Los Angeles, California",Clothing & Accessories,10,Deal,Lori Greiner,"$200,000",10.0%,"$200,000",40.0%,E
Hire Santa - Santa Claus Network,"Dallas, Texas",Service,10,Deal,Barbara Corcoran,"$200,000",10.0%,"$200,000",50.0%,"E
L"
Pristine Toilet Paper Spray,"Dallas, Texas",Beauty & Health,10,Deal,Lori Greiner,"$50,000",20.0%,"$50,000",25.0%,E
Kudo Banz Rewards For Kids,"Shelton, Connecticut",Kids & Toys,10,No Deal,—,"$150,000",10.0%,—,—,—
BatBnb Bat Houses,"Lexington, Kentucky",Home & Tools,10,Deal,Kevin O'Leary,"$100,000",16.0%,"$100,000",25.0%,E
Hydroviv Water Filters,"Washington, DC",Home & Tools,10,Deal,Mark Cuban,"$400,000",10.0%,"$400,000",20.0%,E
The Handbag Raincoat,Indiana,Clothing & Accessories,10,No Deal,—,"$300,000",25.0%,—,—,—
Pop It Pal Pimple Popping Toy,"Sacramento, California",Kids & Toys,10,Deal,Kevin O'Leary,"$250,000",10.0%,"$250,000",5.0%,"E
R
L"
Storm Shelter Bed By Lift Systems,"Oklahoma City, Oklahoma",Home & Tools,10,Deal,Mark Cuban,"$550,000",15.0%,"$550,000",25.0%,E
Jolly Roger Phone Bots Frustrate Telemarketers,"Monrovia, California",Service,10,No Deal,—,"$400,000",10.0%,—,—,—
Basepaws Cat DNA Kit,"Los Angeles, California",Pet Care,10,Deal,"Kevin O'Leary, Robert Herjavec","$250,000",5.0%,"$250,000",10.0%,E
Trippie - Airport App,"Oakland, California",Apps,9,No Deal,—,"$100,000",10.0%,—,—,—
Snarky Tea,"Warminster Township, Pennsylvania",Food & Drink,9,Deal,"Kevin O'Leary, Bethenny Frankel","$150,000",25.0%,"$150,000",50.0%,E
Birddogs Shorts,"New York City, New York",Clothing & Accessories,9,No Deal,—,"$250,000",1.0%,—,—,—
Sunniva Super Coffee,"Saint Elmo Road Austin, Texas",Food & Drink,9,No Deal,—,"$500,000",4.0%,—,—,—
Kwik-Hang - Curtain Rod Brackets,"North Attleboro, Massachusetts",Home & Tools,9,No Deal,—,"$80,000",20.0%,—,—,—
Slumberkins,"Vancouver, Washington",Kids & Toys,9,No Deal,—,"$175,000",5.0%,—,—,—
Boobie Bar - Lactation Bars for Nursing Moms,"Montreal, Canada",Food & Drink,9,Deal,Daymond John,"$150,000",10.0%,"$150,000",20.0%,E
Zuvaa - African-inspired Fashion,"New York, New York",Clothing & Accessories,9,No Deal,—,"$460,000",10.0%,—,—,—
Father Figure Paternity Clothing,"Madison, Wisconsin",Clothing & Accessories,9,No Deal,—,"$80,000",15.0%,—,—,—
The Christmas Tree Hugger,"Dacula, Georgia",Home & Tools,9,No Deal,—,"$100,000",20.0%,—,—,—
ShowerPill - Body Wipes,"Sacramento, California",Beauty & Health,9,No Deal,—,"$300,000",10.0%,—,—,—
Fidgetland - Fidget Toys,"Woodland Hills, California",Kids & Toys,9,Deal,Barbara Corcoran,"$50,000",10.0%,"$50,000",20.0%,E
BrilliantPad - Self-Cleaning Dog Potty,"Chicago, Illinois",Pet Care,9,Deal,Lori Greiner,"$500,000",5.0%,"$500,000",5.0%,—
iFork Flatware,"Los Angeles, California",Home & Tools,9,Deal,Barbara Corcoran,"$100,000",5.0%,"$100,000",15.0%,E
Eggmazing - Easter Egg Decorator Kit,"Amarillo, Texas",Kids & Toys,9,Deal,Lori Greiner,"$350,000",7.0%,"$350,000",10.0%,—
Human Bobber Life Jackets,"Fort Lauderdale, Florida",Sports & Outdoors,9,Deal,"Kevin O'Leary, Mark Cuban","$120,000",15.0%,"$120,000",—,E
ProntoBev - Wine & Beverage Cooler,"San Francisco, California",Home & Tools,9,Deal,Mark Cuban,"$100,000",5.0%,"$100,000",25.0%,E
Pandaloon - Pet Costumes,"Ramona, California",Pet Care,9,Deal,Daymond John,"$60,000",20.0%,"$60,000",35.0%,E
The Pop Pacifiers,"Montclair, New Jersey",Kids & Toys,9,Deal,Kevin O'Leary,"$250,000",5.0%,"$250,000",10.0%,E
DrainWig - Shower Drain Hair Catcher,"Salem, Utah",Home & Tools,9,Deal,Kevin O'Leary,"$300,000",5.0%,"$300,000",15.0%,E
RokBlok - Wireless Vinyl Record Player,"Las Vegas, Nevada",Tech & Electronics,9,Deal,Robert Herjavec,"$300,000",15.0%,"$500,000",100.0%,—
Changed - Student Loan App,"Chicago, Illinois",Apps,9,Deal,Mark Cuban,"$250,000",15.0%,"$250,000",25.0%,E
Enso Rings - Silicone Rings,"Lehi, Utah",Clothing & Accessories,9,No Deal,Robert Herjavec,"$500,000",7.0%,"$500,000",15.0%,E
Bravo - Tipping App,"Phoenix, Arizona",Apps,9,Deal,"Mark Cuban, Lori Greiner","$150,000",5.0%,"$150,000",10.0%,E
Stasher - Silicone Food Storage Bags,"Emeryville, California",Home & Tools,9,Deal,Mark Cuban,"$400,000",5.0%,"$400,000",15.0%,—
Hugo's Amazing Tape,"Commerce, California",Home & Tools,9,Deal,"Mark Cuban, Lori Greiner","$50,000",50.0%,"$100,000",100.0%,E
Locker Board Skateboard,"San Clemente, California",Sports & Outdoors,9,Deal,Richard Branson,"$60,000",15.0%,"$65,000",20.0%,E
Rounderbum - Men's Shapewear,"Los Angeles, California",Clothing & Accessories,9,Deal,Kevin O'Leary,"$150,000",10.0%,"$150,000",5.0%,—
Brazyn Life Morph - Collapsible Foam Roller,"Carpinteria, California",Sports & Outdoors,9,Deal,"Lori Greiner, Sara Blakely","$225,000",10.0%,"$250,000",20.0%,E
Modern Christmas Trees,"Denver, Colorado",Home & Tools,9,Deal,Barbara Corcoran,"$100,000",10.0%,"$100,000",18.0%,—
SnapClips - Barbell Collars,"Prospect Heights, Illinois",Sports & Outdoors,9,Deal,"Mark Cuban, Lori Greiner, Alex Rodriguez","$150,000",15.0%,"$150,000",30.0%,E
Third Wave Water,"Cedarville, Ohio",Food & Drink,9,Deal,Barbara Corcoran,"$100,000",10.0%,"$100,000",25.0%,—
HoopMaps App For Pickup Basketball,"San Francisco, California",Apps,9,No Deal,—,"$100,000",5.0%,—,—,—
Recharj - Meditation and Power Nap Studio,"Washington, D.C.",Beauty & Health; Service,9,No Deal,—,"$75,000",15.0%,—,—,—
Coolpeds - Electric Briefcase-Scooter,"Covina, California",Tech & Electronics,9,No Deal,—,"$250,000",5.0%,—,—,—
WYP Aviation,"Meridianville, Alabama",Sports & Outdoors,9,No Deal,—,"$500,000",20.0%,—,—,—
Brush Hero - Water-Powered Brush,"Alexandria, Virginia",Automotive & Industrial; Home & Tools,9,No Deal,—,"$500,000",10.0%,—,—,—
The Dough Bar Doughnuts,"Fort Collins, Colorado",Food & Drink,9,Deal,Barbara Corcoran,"$300,000",15.0%,"$300,000",20.0%,E
WaiveCar - Electric Rental Cars,"Santa Monica, California",Automotive & Industrial; Service,9,Deal,Kevin O'Leary,"$500,000",2.0%,"$500,000",2.0%,—
Sap! Maple Beverage,"Underhill, Vermont",Food & Drink,9,No Deal,—,"$600,000",12.0%,—,—,—
TanglePets - Kids' Hair Brush,"Hawthorne, New York",Kids & Toys,9,Deal,Lori Greiner,"$75,000",35.0%,"$75,000",50.0%,E
GloveStix Deodorizer,"Ashburn, Virginia",Home & Tools; Sports & Outdoors,9,Deal,"Alex Rodriguez, Lori Greiner","$150,000",10.0%,"$150,000",—,E
DetraPel - Stain Repellent,"Framingham, Massachusetts",Home & Tools,9,Deal,"Mark Cuban, Lori Greiner","$200,000",20.0%,"$200,000",25.0%,E
CoinOut - Receips for Rewards App,"New York, New York",Apps,9,Deal,Robert Herjavec,"$250,000",7.0%,"$250,000",15.0%,E
Sierra Madre Research Hammock,"Vicksburg, Mississippi",Sports & Outdoors,9,Deal,Richard Branson,"$175,000",15.0%,"$175,000",15.0%,E
Savy Shopping App,"Columbus, Ohio",Apps,9,No Deal,—,"$100,000",10.0%,—,—,—
Pearachute - App for Kid's Activities,"Los Angeles, California",,9,Deal,Mark Cuban,"$500,000",6.0%,"$500,000",15.0%,E
Radiate - Portable Campfire,"New York, New York",Sports & Outdoors,9,Deal,Robert Herjavec,"$50,000",20.0%,"$100,000",25.0%,E
Delighted By Hummus - Dessert Hummus,USA,Food & Drink,9,Deal,Mark Cuban,"$600,000",12.0%,"$600,000",25.0%,E
Grypmat - Flexible Tool Tray,"Cleveland, Ohio",Home & Tools,9,Deal,"Lori Greiner, Richard Branson, Mark Cuban","$200,000",10.0%,"$360,000",30.0%,E
Joe's Gourmet Fish Fry,"Atlanta, Georgia",Food & Drink,9,Deal,Daymond John,"$150,000",15.0%,"$150,000",25.0%,E
Bermies Swim Trunks,"Key Biscayne, Florida",Clothing & Accessories,9,No Deal,—,"$200,000",20.0%,—,—,—
Simple Habit,"San Francisco, California",Apps,9,No Deal,—,"$600,000",5.0%,—,—,—
Guzzle Buddy - Wine Bottle Glass,USA,Home & Tools,9,Deal,Daymond John,"$400,000",10.0%,"$400,000",25.0%,E
GeoOrbital Wheel - Electric Wheel For Bicycles,"Cambridge, Massachusetts",,9,No Deal,—,"$500,000",5.0%,—,—,—
Petrol Fuel for Dogs,USA,Pet Care,9,No Deal,—,"$150,000",20.0%,—,—,—
Solemender - Foot Massager,"High Ridge, Missouri",Beauty & Health,9,No Deal,—,"$75,000",10.0%,—,—,—
DNAsimple Genetic Research,"Philadelphia, Pennsylvania",Service,9,Deal,Mark Cuban,"$100,000",12.0%,"$200,000",15.0%,E
G.O.A.T. Pet Products,"Bloomfield Hills, Michigan",Pet Care,9,Deal,Robert Herjavec,"$499,000",9.0%,"$499,000",33.0%,E
Dermovia Lace Your Face,"Alhambra, California",Beauty & Health,9,Deal,Lori Greiner,"$350,000",10.0%,"$350,000",15.0%,E
Hater Dating App,"New York, New York",Apps,9,Deal,Mark Cuban,"$200,000",5.0%,"$200,000",—,E
Bouquet Bar Gift Boxes,"Los Angeles, California",Home & Tools,9,Deal,Mark Cuban,"$150,000",10.0%,"$150,000",20.0%,E
Qeepsake - Journal App,"Newton, Massachusetts",,9,No Deal,—,"$350,000",10.0%,—,—,—
Everytable - Ready-made Meals,"Los Angeles, California",Food & Drink,9,Deal,Rohan Oza,"$1,000,000",5.0%,"$1,000,000",10.0%,E
Ice Shaker - Premium Insulated Drinkware,"Colleyville, Texas",Home & Tools,9,Deal,"Mark Cuban, Alex Rodriguez","$100,000",10.0%,"$150,000",15.0%,E
Robin - Robotic Mowing Services,"Durham, North Carolina",Service,9,No Deal,—,"$500,000",5.0%,—,—,—
DudeRobe - Men's Bathrobe,"New York, New York",Clothing & Accessories,9,No Deal,—,"$150,000",18.0%,—,—,—
Palmini Pasta,"Miami, Florida",Food & Drink,9,Deal,"Lori Greiner, Mark Cuban","$300,000",10.0%,"$300,000",25.0%,E
CocoTaps - Coconut Opening Tool,"Las Vegas, Nevada",Home & Tools,9,No Deal,—,"$150,000",10.0%,—,—,—
The Wingman Life Jacket,"Milwaukee, Wisconsin",Sports & Outdoors,9,No Deal,—,"$200,000",12.0%,—,—,—
The Seventy2 Survival System,"Park City, Utah",Sports & Outdoors,9,Deal,Robert Herjavec,"$100,000",5.0%,"$200,000",10.0%,E
No Mo-Stache Waxing Kit,"Los Angeles, California",Beauty & Health,9,Deal,"Lori Greiner, Bethenny Frankel","$100,000",25.0%,"$100,000",25.0%,—
Frywall - Splatter Guard,"Brooklyn, New York",Home & Tools,9,Deal,Lori Greiner,"$100,000",10.0%,"$100,000",10.0%,E
Gunnar Optiks - Gaming & Computer Glasses,"Carlsbad, California",Clothing & Accessories,9,Deal,Lori Greiner,"$750,000",5.0%,"$750,000",5.0%,—
BenjiLock Padlock,"Los Angeles, California",Home & Tools,9,Deal,Kevin O'Leary,"$200,000",10.0%,"$200,000",15.0%,E
SmartGurlz - Coding Robot for Girls,"Houston, Texas",Tech & Electronics,9,Deal,Daymond John,"$200,000",5.0%,"$200,000",25.0%,E
The Longhairs - Hair Ties For Guys,California,Clothing & Accessories,9,Deal,Mark Cuban,"$95,000",10.0%,"$100,000",20.0%,E
Thrive+ Hangover Supplement,"Houston, Texas",Beauty & Health,9,No Deal,—,"$400,000",10.0%,—,—,—
Everlywell - At-Home Health Test,"Austin, Texas",Beauty & Health,9,Deal,Lori Greiner,"$1,000,000",5.0%,"$1,000,000",5.0%,—
Jackson's Honest,"Muskego, Wisconsin",Food & Drink,9,Deal,Rohan Oza,"$1,250,000",5.0%,"$1,250,000",15.0%,E
SnoofyBee - Diaper Changing Pad,"Bountiful, Utah",Kids & Toys,9,Deal,Lori Greiner,"$85,000",10.0%,"$120,000",20.0%,E
Elliptical Stroller,"Miami, Florida",Kids & Toys,9,No Deal,—,"$500,000",40.0%,—,—,—
Avocaderia,"New York, New York",Food & Drink,9,Deal,"Barbara Corcoran, Mark Cuban","$300,000",10.0%,"$400,000",20.0%,E
Ash and Anvil - Clothes for Short Men,"Detroit, Michigan",Clothing & Accessories,9,Deal,Mark Cuban,"$100,000",12.0%,"$150,000",25.0%,E
Reely Hooked Fish Co. - Smoked Fish Dip,"Pembroke Pines, Florida",Food & Drink,9,Deal,Mark Cuban,"$75,000",25.0%,"$75,000",25.0%,E
Alice's Table - Flower Arranging Events,"Jericho, New York",Entertainment & Arts,9,Deal,"Mark Cuban, Sara Blakely","$250,000",6.0%,"$250,000",10.0%,E
Mush - Ready-to-Eat Overnight Oats,"Chicago, Illinois",Food & Drink,9,Deal,Mark Cuban,"$300,000",10.0%,"$300,000",10.0%,E
Qball -Throwable Wireless Microphone,"Salt Lake City, Utah",Tech & Electronics,9,Deal,"Rohan Oza, Lori Greiner, Mark Cuban","$200,000",15.0%,"$300,000",30.0%,E
Dreampad Sound Pillow,"Aurora, Colorado",Home & Tools,9,No Deal,—,"$800,000",10.0%,—,—,—
Inirv Smart Kitchen Device,"Raleigh, North Carolina",Home & Tools,9,No Deal,—,"$800,000",8.0%,—,—,—
Solsource - Solar Powered Grill,"Cambridge, Massachusetts",Home & Tools,9,Deal,Mark Cuban,"$500,000",3.0%,"$500,000",4.0%,E
Mirmir Photobooth,"North Hollywood, California",Tech & Electronics,9,Deal,Robert Herjavec,"$350,000",10.0%,"$700,000",20.0%,E
The Cut Buddy - Hair-Grooming Tool,"Pittsboro, North Carolina",Beauty & Health,9,Deal,Daymond John,"$300,000",10.0%,"$300,000",20.0%,E
ZUP Watersports Board,"Williamsburg, Virginia",Sports & Outdoors,9,No Deal,—,"$300,000",10.0%,—,—,—
Novel Effect Storytelling App,"Seattle, Washington",,9,Deal,Lori Greiner,"$500,000",10.0%,"$500,000",15.0%,E
The Comfy Original Wearable Blanket,"Cave Creek, Arizona",Clothing & Accessories,9,Deal,Barbara Corcoran,"$50,000",20.0%,"$50,000",30.0%,E
Vibes High Fidelity Earplugs,"Minneapolis, Minnesota",Beauty & Health,8,No Deal,—,"$100,000",20.0%,—,—,—
Bridal Buddy,,Clothing & Accessories,8,Deal,"Lori Greiner, Kevin O'Leary","$75,000",10.0%,"$75,000",30.0%,E
TekDry - Water Removal for Cell Phones,"Denver, Colorado",Tech & Electronics,8,Deal,Kevin O'Leary,"$500,000",5.0%,"$500,000",5.0%,"E
L"
MealEnders Curb Food Cravings,"San Francisco, California",Beauty & Health; Food & Drink,8,No Deal,—,"$350,000",8.0%,—,—,—
Parker's Maple Syrup,"Canton, New York",Food & Drink,8,No Deal,—,"$200,000",20.0%,—,—,—
Hand Out Gloves - Free Your Fingers,"Sandy, Utah",,8,Deal,Barbara Corcoran,$150,20.0%,"$300,000",25.0%,"E
C"
See Rescue Streamer,"Honolulu, Hawaii",Sports & Outdoors,8,No Deal,—,"$200,000",20.0%,—,—,—
Fizzics - Beer Pouring System,"Newark, New Jersey",Food & Drink,8,Deal,"Mark Cuban, Lori Greiner","$500,000",4.0%,"$2,000,000",16.0%,E
Popup Play - Design and Build a Playhouse,"Austin, Texas",Kids & Toys,8,Deal,Chris Sacca,"$250,000",6.0%,"$250,000",8.0%,"E
L"
Night Runner - Shoe Lights For Night Running,"Orlando, Florida",Sports & Outdoors,8,Deal,Robert Herjavec,"$250,000",10.0%,"$250,000",15.0%,E
Rareform Bags Made From Billboards,"Ventura County, California",Clothing & Accessories,8,Deal,Kevin O'Leary,"$300,000",10.0%,"$300,000",10.0%,"E
L"
Safe Grabs - Microwave Mat,"Marina del Rey, California",Home & Tools,8,Deal,Lori Greiner,"$75,000",10.0%,"$75,000",25.0%,E
PDX Pet Design - Cat Toys and Grooming,"Portland, Oregon",Pet Care,8,No Deal,—,"$300,000",15.0%,—,—,—
Booty Queen Apparel,"Plano, Texas",,8,Deal,Daymond John,"$250,000",20.0%,"$250,000",33.0%,E
A Spoonful of Comfort Soup Delivery,"West Valley City, Utah",Food & Drink,8,No Deal,—,"$400,000",10.0%,—,—,—
Getaway - Rent a Tiny House In The Woods,"Boston, Massachusetts",,8,No Deal,—,"$500,000",5.0%,—,—,—
Eco Flower - Wooden Flowers,"Ogden, Utah",Entertainment & Arts,8,Deal,Daymond John,"$400,000",10.0%,"$400,000",20.0%,E
PupBox - Monthly Puppy Products and Treats,"San Marcos, California",Pet Care,8,Deal,Robert Herjavec,"$250,000",10.0%,"$250,000",15.0%,E
Toymail Plush Toy and Message App For Kids,New York City,Kids & Toys,8,Deal,"Chris Sacca, Lori Greiner","$250,000",2.0%,"$600,000",5.0%,E
Apollo Peak Wine For Cats and Dogs,Colorado,Pet Care,8,Deal,Kevin O'Leary,"$100,000",10.0%,"$100,000",20.0%,E
SiliDog Silent Pet Tags,"Miami, Florida",Pet Care,8,Deal,Lori Greiner,"$100,000",15.0%,"$100,000",30.0%,"E
R"
Basic Outfitters - Clothing Essentials By Mail,New York City,Clothing & Accessories,8,No Deal,—,"$125,000",10.0%,—,—,—
Loctote Theft Resistant Bags,"Columbus, Ohio",Clothing & Accessories,8,Deal,Robert Herjavec,"$150,000",5.0%,"$150,000",10.0%,E
ISlide Customizable Sandals,"Boston, Massachusetts",Clothing & Accessories,8,No Deal,—,"$500,000",5.0%,—,—,—
The Kooler - Cooler Within a Cooler,Not Specified,Sports & Outdoors,8,Deal,Daymond John,"$50,000",15.0%,"$50,000",33.0%,—
