Product,Location,Category,Season,Deal Y/N,Sharks,Asking Amount,% Equity (Asking),Invested Amount,% Equity (Deal),Deal Type
Chubby Buttons - Bluetooth Remote,"Brooklyn, New York",Tech & Electronics,14,No Deal,—,"$250,000",8.0%,—,—,—
Tones of Melanin Apparel,"Norfolk, Virginia",Clothing & Accessories,14,Deal,Mark Cuban,"$300,000",5.0%,"$300,000",12.0%,E
Honey Bunchies - All-Natural Energy Bar,"Longmont, Colorado",Food & Drink,14,No Deal,—,"$200,000",10.0%,—,—,—
Kudos Diapers,"Los Angeles, California",Kids & Toys,14,Deal,"Gwyneth Paltrow, Mark Cuban","$250,000",5.0%,"$250,000",7.0%,E
Mama O's Kimchi Paste,"Brooklyn, New York City",Food & Drink,14,No Deal,—,"$250,000",10.0%,—,—,—
Copy Keyboard - USB Keypad,"Fresno, California",Tech & Electronics,14,No Deal,—,"$40,000",25.0%,—,—,—
Autio - Audio Entertainment App,"Santa Barbara, California",Apps,14,No Deal,—,"$1,000,000",5.0%,—,—,—
Tucky Elastic Band,"Charlotte, North Carolina",Clothing & Accessories,14,Deal,Daymond John,"$70,000",30.0%,"$70,000",39.0%,E
Kinfield Skincare,"San Francisco, California",Beauty & Health,14,Deal,"Barbara Corcoran, Tony Xu","$250,000",5.0%,"$250,000",10.0%,E
Eat Your Flowers - Baked Goods,"Los Angeles, California",Food & Drink,14,Deal,Barbara Corcoran,"$250,000",12.0%,"$250,000",15.0%,E
Nature's Wild Berry,Greater New York City Area,Food & Drink,14,Deal,"Mark Cuban, Lori Greiner","$80,000",15.0%,"$80,000",20.0%,—
Create a Castle - Sandcastle Kit,"New Milford, Connecticut",Kids & Toys,14,Deal,Kendra Scott,"$350,000",10.0%,"$350,000",20.0%,E
Slick Barrier - Pest Control,"Gilbert, Arizona",Home & Tools,14,Deal,Lori Greiner,"$500,000",10.0%,"$500,000",15.0%,—
Tngnt Ski Bikes,"Bluefidley, Utah",Sports & Outdoors,14,Deal,Robert Herjavec,"$200,000",20.0%,"$200,000",40.0%,E
EyeWris - Foldable Reading Glasses,"Santa Barbara, California",Clothing & Accessories,14,Deal,"Mark Cuban, Kevin O'Leary, Barbara Corcoran, Daymond John, Lori Greiner","$25,000",5.0%,"$125,000",20.0%,E
Metric Mate - Fitness Device,"Atlanta, Georgia",Sports & Outdoors,14,No Deal,—,"$100,000",5.0%,—,—,—
Surf Band Pro,"Fairfax Station, Virginia",Sports & Outdoors,14,No Deal,—,"$150,000",10.0%,—,—,—
See The Way I See,"Trumbull, Connecticut",Clothing & Accessories,14,No Deal,—,"$250,000",10.0%,—,—,—
Storage Scholars - Student Storage,Wake Forest University,Service,14,Deal,Mark Cuban,"$250,000",5.0%,"$250,000",10.0%,E
Boarderie - Charcuterie Board Delivery,"West Palm Beach, Florida",Food & Drink,14,Deal,Lori Greiner,"$300,000",5.0%,"$300,000",9.0%,E
Lavabox - Portable Campfire,"Denver, Colorado",Sports & Outdoors,14,Deal,Lori Greiner,"$200,000",10.0%,"$200,000",—,—
